"airline","timeOfFlight","deptAirport","arrAirport","arrDay","arrTime","deptCountry","flightNumber","estimatedOutGateVariation","estimatedOutGate","estimatedOffGround","actualOutGateVariation","actualOutGate","actualOffGround","estimatedInGateVariation","estimatedInGate","estimatedOnGround","actualInGateVariation","actualInGate","actualOnGround","arrTerminal","arrGate","numStops","connections","miles"
"EI",254,"SFO","ORD","2024-08-01","12:14","US",7154,"00:00:00","2024-08-01T06:00:00-07:00",NA,"-00:07:00","2024-08-01T05:53:00-07:00","2024-08-01T06:07:00-07:00","-00:18:00","2024-08-01T11:56:00-05:00",NA,"-00:16:00","2024-08-01T11:58:00-05:00","2024-08-01T11:45:00-05:00","3","K20",0,list("None"),1842.58
"EI",171,"AUS","ORD","2024-08-01","08:51","US",7173,"00:00:00","2024-08-01T06:00:00-05:00",NA,"00:03:00","2024-08-01T06:03:00-05:00","2024-08-01T06:20:00-05:00","00:22:00","2024-08-01T09:13:00-05:00",NA,"00:22:00","2024-08-01T09:13:00-05:00","2024-08-01T08:57:00-05:00","3","K16",0,list("None"),978.4
"AC",101,"MCI","ORD","2024-08-01","07:41","US",4881,"00:00:00","2024-08-01T06:00:00-05:00","2024-08-01T06:07:00-05:00","-00:08:00","2024-08-01T05:52:00-05:00","2024-08-01T06:05:00-05:00","-00:05:00","2024-08-01T07:36:00-05:00","2024-08-01T07:13:00-05:00","00:05:00","2024-08-01T07:46:00-05:00","2024-08-01T07:24:00-05:00","1","B19",0,list("None"),402.04
"AC",96,"MSP","ORD","2024-08-01","07:36","US",5122,"00:00:00","2024-08-01T06:00:00-05:00","2024-08-01T06:26:00-05:00","-00:04:00","2024-08-01T05:56:00-05:00","2024-08-01T06:13:00-05:00","-00:09:00","2024-08-01T07:27:00-05:00","2024-08-01T07:30:00-05:00","00:03:00","2024-08-01T07:39:00-05:00","2024-08-01T07:17:00-05:00","2","E6",0,list("None"),333.67
"AC",164,"PVD","ORD","2024-08-01","07:44","US",4502,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:14:00-04:00","-00:15:00","2024-08-01T05:45:00-04:00","2024-08-01T06:00:00-04:00","-00:19:00","2024-08-01T07:25:00-05:00","2024-08-01T06:55:00-05:00","-00:20:00","2024-08-01T07:24:00-05:00","2024-08-01T06:55:00-05:00","1","C18A",0,list("None"),846.98
"NH",96,"MSP","ORD","2024-08-01","07:36","US",7437,"00:00:00","2024-08-01T06:00:00-05:00","2024-08-01T06:26:00-05:00","-00:04:00","2024-08-01T05:56:00-05:00","2024-08-01T06:13:00-05:00","-00:09:00","2024-08-01T07:27:00-05:00","2024-08-01T07:30:00-05:00","00:03:00","2024-08-01T07:39:00-05:00","2024-08-01T07:17:00-05:00","2","E6",0,list("None"),333.67
"NH",164,"PVD","ORD","2024-08-01","07:44","US",7625,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:14:00-04:00","-00:15:00","2024-08-01T05:45:00-04:00","2024-08-01T06:00:00-04:00","-00:19:00","2024-08-01T07:25:00-05:00","2024-08-01T06:55:00-05:00","-00:20:00","2024-08-01T07:24:00-05:00","2024-08-01T06:55:00-05:00","1","C18A",0,list("None"),846.98
"NZ",96,"MSP","ORD","2024-08-01","07:36","US",2664,"00:00:00","2024-08-01T06:00:00-05:00","2024-08-01T06:26:00-05:00","-00:04:00","2024-08-01T05:56:00-05:00","2024-08-01T06:13:00-05:00","-00:09:00","2024-08-01T07:27:00-05:00","2024-08-01T07:30:00-05:00","00:03:00","2024-08-01T07:39:00-05:00","2024-08-01T07:17:00-05:00","2","E6",0,list("None"),333.67
"NZ",90,"CLE","ORD","2024-08-01","06:30","US",2168,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:14:00-04:00","-00:02:00","2024-08-01T05:58:00-04:00","2024-08-01T06:11:00-04:00","-00:15:00","2024-08-01T06:15:00-05:00","2024-08-01T06:15:00-05:00","-00:15:00","2024-08-01T06:15:00-05:00","2024-08-01T06:05:00-05:00","1","B4",0,list("None"),314.77
"NZ",101,"MCI","ORD","2024-08-01","07:41","US",2570,"00:00:00","2024-08-01T06:00:00-05:00","2024-08-01T06:07:00-05:00","-00:08:00","2024-08-01T05:52:00-05:00","2024-08-01T06:05:00-05:00","-00:05:00","2024-08-01T07:36:00-05:00","2024-08-01T07:13:00-05:00","00:05:00","2024-08-01T07:46:00-05:00","2024-08-01T07:24:00-05:00","1","B19",0,list("None"),402.04
"NZ",164,"PVD","ORD","2024-08-01","07:44","US",2774,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:14:00-04:00","-00:15:00","2024-08-01T05:45:00-04:00","2024-08-01T06:00:00-04:00","-00:19:00","2024-08-01T07:25:00-05:00","2024-08-01T06:55:00-05:00","-00:20:00","2024-08-01T07:24:00-05:00","2024-08-01T06:55:00-05:00","1","C18A",0,list("None"),846.98
"AC",134,"ATL","ORD","2024-08-01","07:14","US",3304,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:27:00-04:00","-00:03:00","2024-08-01T05:57:00-04:00","2024-08-01T06:21:00-04:00","-00:07:00","2024-08-01T07:07:00-05:00","2024-08-01T07:07:00-05:00","-00:11:00","2024-08-01T07:03:00-05:00","2024-08-01T06:55:00-05:00","1","C30",0,list("None"),606.66
