"airline","timeOfFlight","deptAirport","arrAirport","arrDay","arrTime","deptCountry","flightNumber","estimatedOutGateVariation","estimatedOutGate","estimatedOffGround","actualOutGateVariation","actualOutGate","actualOffGround","estimatedInGateVariation","estimatedInGate","estimatedOnGround","actualInGateVariation","actualInGate","actualOnGround","arrTerminal","arrGate","numStops","connections","miles"
"AA",249,"LAX","ORD","2024-08-01","00:19","US",516,"00:16:00","2024-07-31T18:26:00-07:00",NA,"00:24:00","2024-07-31T18:34:00-07:00","2024-07-31T18:45:00-07:00","00:13:00","2024-08-01T00:32:00-05:00",NA,"00:15:00","2024-08-01T00:34:00-05:00","2024-08-01T00:23:00-05:00","3","H16",0,list("None"),1741.16
"VA",255,"SFO","ORD","2024-08-01","00:45","US",8106,"04:40:00","2024-07-31T23:10:00-07:00","2024-07-31T23:57:00-07:00","04:37:00","2024-07-31T23:07:00-07:00","2024-07-31T23:42:00-07:00","05:17:00","2024-08-01T06:02:00-05:00","2024-08-01T05:42:00-05:00","05:18:00","2024-08-01T06:03:00-05:00","2024-08-01T05:56:00-05:00","1","C9",0,list("None"),1842.58
"AC",255,"SFO","ORD","2024-08-01","00:45","US",5166,"04:40:00","2024-07-31T23:10:00-07:00","2024-07-31T23:57:00-07:00","04:37:00","2024-07-31T23:07:00-07:00","2024-07-31T23:42:00-07:00","05:17:00","2024-08-01T06:02:00-05:00","2024-08-01T05:42:00-05:00","05:18:00","2024-08-01T06:03:00-05:00","2024-08-01T05:56:00-05:00","1","C9",0,list("None"),1842.58
"OZ",255,"SFO","ORD","2024-08-01","00:45","US",6303,"04:40:00","2024-07-31T23:10:00-07:00","2024-07-31T23:57:00-07:00","04:37:00","2024-07-31T23:07:00-07:00","2024-07-31T23:42:00-07:00","05:17:00","2024-08-01T06:02:00-05:00","2024-08-01T05:42:00-05:00","05:18:00","2024-08-01T06:03:00-05:00","2024-08-01T05:56:00-05:00","1","C9",0,list("None"),1842.58
"NZ",255,"SFO","ORD","2024-08-01","00:45","US",9304,"04:40:00","2024-07-31T23:10:00-07:00","2024-07-31T23:57:00-07:00","04:37:00","2024-07-31T23:07:00-07:00","2024-07-31T23:42:00-07:00","05:17:00","2024-08-01T06:02:00-05:00","2024-08-01T05:42:00-05:00","05:18:00","2024-08-01T06:03:00-05:00","2024-08-01T05:56:00-05:00","1","C9",0,list("None"),1842.58
"UA",255,"SFO","ORD","2024-08-01","00:45","US",1152,"04:40:00","2024-07-31T23:10:00-07:00","2024-07-31T23:57:00-07:00","04:37:00","2024-07-31T23:07:00-07:00","2024-07-31T23:42:00-07:00","05:17:00","2024-08-01T06:02:00-05:00","2024-08-01T05:42:00-05:00","05:18:00","2024-08-01T06:03:00-05:00","2024-08-01T05:56:00-05:00","1","C9",0,list("None"),1842.58
"CM",331,"PTY","ORD","2024-08-01","00:16","PA",235,"00:09:00","2024-07-31T18:54:00-05:00",NA,"00:08:00","2024-07-31T18:53:00-05:00","2024-07-31T19:30:00-05:00","00:19:00","2024-08-01T00:35:00-05:00",NA,"00:19:00","2024-08-01T00:35:00-05:00","2024-08-01T00:19:00-05:00",NA,NA,0,list("None"),2332.06
"UA",331,"PTY","ORD","2024-08-01","00:16","PA",7083,"00:09:00","2024-07-31T18:54:00-05:00",NA,"00:08:00","2024-07-31T18:53:00-05:00","2024-07-31T19:30:00-05:00","00:19:00","2024-08-01T00:35:00-05:00",NA,"00:19:00","2024-08-01T00:35:00-05:00","2024-08-01T00:19:00-05:00",NA,NA,0,list("None"),2332.06
"DL",260,"MEX","ORD","2024-08-01","00:10","MX",8019,NA,NA,NA,"-00:05:00","2024-07-31T18:45:00-06:00","2024-07-31T19:06:00-06:00","-00:25:00","2024-07-31T23:45:00-05:00","2024-07-31T23:35:00-05:00","-00:23:00","2024-07-31T23:47:00-05:00","2024-07-31T23:36:00-05:00",NA,NA,0,list("None"),1689.33
"AM",260,"MEX","ORD","2024-08-01","00:10","MX",682,NA,NA,NA,"-00:05:00","2024-07-31T18:45:00-06:00","2024-07-31T19:06:00-06:00","-00:25:00","2024-07-31T23:45:00-05:00","2024-07-31T23:35:00-05:00","-00:23:00","2024-07-31T23:47:00-05:00","2024-07-31T23:36:00-05:00",NA,NA,0,list("None"),1689.33
"AA",213,"PHX","ORD","2024-08-01","00:23","US",630,"02:03:00","2024-07-31T20:53:00-07:00",NA,"01:55:00","2024-07-31T20:45:00-07:00","2024-07-31T21:01:00-07:00","01:47:00","2024-08-01T02:10:00-05:00",NA,"01:48:00","2024-08-01T02:11:00-05:00","2024-08-01T02:01:00-05:00","3","K20",0,list("None"),1437.49
"AA",595,"ORD","ORD","2024-08-01","05:00","US",2368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,list("SEA"),3432.2
"VB",255,"GDL","ORD","2024-08-01","00:30","MX",546,"00:00:00","2024-07-31T19:15:00-06:00",NA,NA,NA,"2024-07-31T20:39:00-06:00",NA,NA,NA,NA,NA,"2024-08-01T01:13:00-05:00",NA,NA,0,list("None"),1733.25
"UA",564,"DEN","ORD","2024-08-01","05:51","US",2115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,list("RNO"),2469.31
"VB",255,"MEX","ORD","2024-08-01","00:45","MX",186,"00:10:00","2024-07-31T19:40:00-06:00",NA,NA,NA,NA,NA,NA,"2024-08-01T00:16:00-05:00",NA,NA,NA,NA,NA,0,list("None"),1689.33
"F9",244,"GDL","ORD","2024-08-01","01:05","MX",6902,"00:00:00","2024-07-31T20:01:00-06:00","2024-07-31T20:12:00-06:00","-00:05:00","2024-07-31T19:56:00-06:00","2024-07-31T20:18:00-06:00",NA,NA,NA,NA,NA,"2024-08-01T00:55:00-05:00",NA,NA,0,list("None"),1733.25
"Y4",244,"GDL","ORD","2024-08-01","01:05","MX",1702,"00:00:00","2024-07-31T20:01:00-06:00","2024-07-31T20:12:00-06:00","-00:05:00","2024-07-31T19:56:00-06:00","2024-07-31T20:18:00-06:00",NA,NA,NA,NA,NA,"2024-08-01T00:55:00-05:00",NA,NA,0,list("None"),1733.25
"UA",516,"IAH","ORD","2024-08-01","04:40","US",2674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,list("SAN"),3020.6
"F9",219,"PHX","ORD","2024-08-01","01:59","US",1828,"01:55:00","2024-07-31T22:15:00-07:00",NA,"02:01:00","2024-07-31T22:21:00-07:00","2024-07-31T22:35:00-07:00","01:48:00","2024-08-01T03:47:00-05:00",NA,"01:54:00","2024-08-01T03:53:00-05:00","2024-08-01T03:36:00-05:00","5","M40",0,list("None"),1437.49
"QF",582,"ORD","ORD","2024-08-01","06:04","US",3325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,list("SFO"),3685.16
"AA",582,"ORD","ORD","2024-08-01","06:04","US",2113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,list("SFO"),3685.16
"UA",363,"FAI","ORD","2024-08-01","06:00","US",1731,"00:00:00","2024-07-31T20:57:00-08:00","2024-07-31T21:10:00-08:00","-00:05:00","2024-07-31T20:52:00-08:00","2024-07-31T21:05:00-08:00","-00:10:00","2024-08-01T05:50:00-05:00","2024-08-01T05:46:00-05:00","-00:12:00","2024-08-01T05:48:00-05:00","2024-08-01T05:40:00-05:00","1","B2",0,list("None"),2778.29
"AA",512,"ORD","ORD","2024-08-01","05:34","US",1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,list("LAS"),3022
"AC",372,"ANC","ORD","2024-08-01","06:17","US",3477,"00:00:00","2024-07-31T21:05:00-08:00","2024-07-31T21:20:00-08:00","-00:02:00","2024-07-31T21:03:00-08:00","2024-07-31T21:14:00-08:00","-00:32:00","2024-08-01T05:45:00-05:00","2024-08-01T05:40:00-05:00","-00:33:00","2024-08-01T05:44:00-05:00","2024-08-01T05:35:00-05:00","1","B8",0,list("None"),2838.67
"UA",372,"ANC","ORD","2024-08-01","06:17","US",2271,"00:00:00","2024-07-31T21:05:00-08:00","2024-07-31T21:20:00-08:00","-00:02:00","2024-07-31T21:03:00-08:00","2024-07-31T21:14:00-08:00","-00:32:00","2024-08-01T05:45:00-05:00","2024-08-01T05:40:00-05:00","-00:33:00","2024-08-01T05:44:00-05:00","2024-08-01T05:35:00-05:00","1","B8",0,list("None"),2838.67
"Y4",235,"BJX","ORD","2024-08-01","02:02","MX",7730,NA,NA,"2024-07-31T21:12:00-06:00","-00:09:00","2024-07-31T20:58:00-06:00","2024-07-31T21:09:00-06:00",NA,NA,NA,NA,NA,"2024-08-01T01:33:00-05:00",NA,NA,0,list("None"),1651.08
"NZ",158,"IAH","ORD","2024-08-01","00:13","US",6848,"00:35:00","2024-07-31T22:10:00-05:00","2024-07-31T22:39:00-05:00","00:32:00","2024-07-31T22:07:00-05:00","2024-07-31T22:29:00-05:00","00:27:00","2024-08-01T00:40:00-05:00","2024-08-01T00:42:00-05:00","00:27:00","2024-08-01T00:40:00-05:00","2024-08-01T00:30:00-05:00","1","B4",0,list("None"),926.25
"UA",158,"IAH","ORD","2024-08-01","00:13","US",715,"00:35:00","2024-07-31T22:10:00-05:00","2024-07-31T22:39:00-05:00","00:32:00","2024-07-31T22:07:00-05:00","2024-07-31T22:29:00-05:00","00:27:00","2024-08-01T00:40:00-05:00","2024-08-01T00:42:00-05:00","00:27:00","2024-08-01T00:40:00-05:00","2024-08-01T00:30:00-05:00","1","B4",0,list("None"),926.25
"QR",370,"ANC","ORD","2024-08-01","06:55","US",8816,"00:00:00","2024-07-31T21:45:00-08:00",NA,"-00:02:00","2024-07-31T21:43:00-08:00","2024-07-31T21:55:00-08:00","-00:23:00","2024-08-01T06:32:00-05:00",NA,"-00:09:00","2024-08-01T06:46:00-05:00","2024-08-01T06:30:00-05:00","2","E17",0,list("None"),2838.67
"AS",370,"ANC","ORD","2024-08-01","06:55","US",138,"00:00:00","2024-07-31T21:45:00-08:00",NA,"-00:02:00","2024-07-31T21:43:00-08:00","2024-07-31T21:55:00-08:00","-00:23:00","2024-08-01T06:32:00-05:00",NA,"-00:09:00","2024-08-01T06:46:00-05:00","2024-08-01T06:30:00-05:00","2","E17",0,list("None"),2838.67
"BA",375,"ANC","ORD","2024-08-01","07:01","US",5327,"00:00:00","2024-07-31T21:46:00-08:00",NA,"00:04:00","2024-07-31T21:50:00-08:00","2024-07-31T22:08:00-08:00","-00:12:00","2024-08-01T06:49:00-05:00",NA,"-00:10:00","2024-08-01T06:51:00-05:00","2024-08-01T06:37:00-05:00","3","H5",0,list("None"),2838.67
"AA",375,"ANC","ORD","2024-08-01","07:01","US",1309,"00:00:00","2024-07-31T21:46:00-08:00",NA,"00:04:00","2024-07-31T21:50:00-08:00","2024-07-31T22:08:00-08:00","-00:12:00","2024-08-01T06:49:00-05:00",NA,"-00:10:00","2024-08-01T06:51:00-05:00","2024-08-01T06:37:00-05:00","3","H5",0,list("None"),2838.67
"F9",244,"GDL","ORD","2024-08-01","03:11","MX",6704,"01:38:00","2024-07-31T23:45:00-06:00","2024-08-01T00:05:00-06:00","01:42:00","2024-07-31T23:49:00-06:00","2024-08-01T00:02:00-06:00",NA,NA,NA,NA,NA,"2024-08-01T04:40:00-05:00",NA,NA,0,list("None"),1733.25
"Y4",244,"GDL","ORD","2024-08-01","03:11","MX",1704,"01:38:00","2024-07-31T23:45:00-06:00","2024-08-01T00:05:00-06:00","01:42:00","2024-07-31T23:49:00-06:00","2024-08-01T00:02:00-06:00",NA,NA,NA,NA,NA,"2024-08-01T04:40:00-05:00",NA,NA,0,list("None"),1733.25
"UA",630,"GRU","ORD","2024-08-01","06:50","BR",844,"00:00:00","2024-07-31T22:20:00-03:00","2024-07-31T22:48:00-03:00","00:06:00","2024-07-31T22:26:00-03:00","2024-07-31T22:45:00-03:00","-00:17:00","2024-08-01T06:33:00-05:00","2024-08-01T06:27:00-05:00","-00:14:00","2024-08-01T06:36:00-05:00","2024-08-01T06:25:00-05:00","5","M20",0,list("None"),5236.94
"NH",630,"GRU","ORD","2024-08-01","06:50","BR",7257,"00:00:00","2024-07-31T22:20:00-03:00","2024-07-31T22:48:00-03:00","00:06:00","2024-07-31T22:26:00-03:00","2024-07-31T22:45:00-03:00","-00:17:00","2024-08-01T06:33:00-05:00","2024-08-01T06:27:00-05:00","-00:14:00","2024-08-01T06:36:00-05:00","2024-08-01T06:25:00-05:00","5","M20",0,list("None"),5236.94
"AC",251,"SAN","ORD","2024-08-01","04:40","US",5544,"00:00:00","2024-07-31T22:29:00-07:00","2024-07-31T22:53:00-07:00","-00:06:00","2024-07-31T22:23:00-07:00","2024-07-31T22:41:00-07:00","-00:03:00","2024-08-01T04:37:00-05:00","2024-08-01T04:27:00-05:00","-00:06:00","2024-08-01T04:34:00-05:00","2024-08-01T04:27:00-05:00","1","C2",0,list("None"),1719.99
"UA",251,"SAN","ORD","2024-08-01","04:40","US",2674,"00:00:00","2024-07-31T22:29:00-07:00","2024-07-31T22:53:00-07:00","-00:06:00","2024-07-31T22:23:00-07:00","2024-07-31T22:41:00-07:00","-00:03:00","2024-08-01T04:37:00-05:00","2024-08-01T04:27:00-05:00","-00:06:00","2024-08-01T04:34:00-05:00","2024-08-01T04:27:00-05:00","1","C2",0,list("None"),1719.99
"VA",256,"SFO","ORD","2024-08-01","04:56","US",8101,"00:00:00","2024-07-31T22:40:00-07:00","2024-07-31T23:09:00-07:00","-00:07:00","2024-07-31T22:33:00-07:00","2024-07-31T22:57:00-07:00","-00:10:00","2024-08-01T04:46:00-05:00","2024-08-01T04:53:00-05:00","-00:15:00","2024-08-01T04:41:00-05:00","2024-08-01T04:36:00-05:00","1","B11",0,list("None"),1842.58
"AC",256,"SFO","ORD","2024-08-01","04:56","US",5432,"00:00:00","2024-07-31T22:40:00-07:00","2024-07-31T23:09:00-07:00","-00:07:00","2024-07-31T22:33:00-07:00","2024-07-31T22:57:00-07:00","-00:10:00","2024-08-01T04:46:00-05:00","2024-08-01T04:53:00-05:00","-00:15:00","2024-08-01T04:41:00-05:00","2024-08-01T04:36:00-05:00","1","B11",0,list("None"),1842.58
"NZ",256,"SFO","ORD","2024-08-01","04:56","US",9303,"00:00:00","2024-07-31T22:40:00-07:00","2024-07-31T23:09:00-07:00","-00:07:00","2024-07-31T22:33:00-07:00","2024-07-31T22:57:00-07:00","-00:10:00","2024-08-01T04:46:00-05:00","2024-08-01T04:53:00-05:00","-00:15:00","2024-08-01T04:41:00-05:00","2024-08-01T04:36:00-05:00","1","B11",0,list("None"),1842.58
"ET",1045,"ADD","ORD","2024-08-01","08:05","ET",574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,list("FCO"),7595.02
"UA",256,"SFO","ORD","2024-08-01","04:56","US",1230,"00:00:00","2024-07-31T22:40:00-07:00","2024-07-31T23:09:00-07:00","-00:07:00","2024-07-31T22:33:00-07:00","2024-07-31T22:57:00-07:00","-00:10:00","2024-08-01T04:46:00-05:00","2024-08-01T04:53:00-05:00","-00:15:00","2024-08-01T04:41:00-05:00","2024-08-01T04:36:00-05:00","1","B11",0,list("None"),1842.58
"KE",235,"SEA","ORD","2024-08-01","04:40","US",6117,"00:00:00","2024-07-31T22:45:00-07:00",NA,"00:06:00","2024-07-31T22:51:00-07:00","2024-07-31T23:23:00-07:00","00:26:00","2024-08-01T05:06:00-05:00",NA,"00:33:00","2024-08-01T05:13:00-05:00","2024-08-01T05:04:00-05:00","2","E15",0,list("None"),1716.1
"QR",235,"SEA","ORD","2024-08-01","04:40","US",8887,"00:00:00","2024-07-31T22:45:00-07:00",NA,"00:06:00","2024-07-31T22:51:00-07:00","2024-07-31T23:23:00-07:00","00:26:00","2024-08-01T05:06:00-05:00",NA,"00:33:00","2024-08-01T05:13:00-05:00","2024-08-01T05:04:00-05:00","2","E15",0,list("None"),1716.1
"AS",235,"SEA","ORD","2024-08-01","04:40","US",328,"00:00:00","2024-07-31T22:45:00-07:00",NA,"00:06:00","2024-07-31T22:51:00-07:00","2024-07-31T23:23:00-07:00","00:26:00","2024-08-01T05:06:00-05:00",NA,"00:33:00","2024-08-01T05:13:00-05:00","2024-08-01T05:04:00-05:00","2","E15",0,list("None"),1716.1
"BA",256,"SAN","ORD","2024-08-01","05:04","US",5554,"00:30:00","2024-07-31T23:18:00-07:00",NA,"00:30:00","2024-07-31T23:18:00-07:00","2024-07-31T23:32:00-07:00","00:00:00","2024-08-01T05:04:00-05:00",NA,"00:01:00","2024-08-01T05:05:00-05:00","2024-08-01T04:56:00-05:00","3","K8",0,list("None"),1719.99
"EI",256,"SAN","ORD","2024-08-01","05:04","US",7460,"00:30:00","2024-07-31T23:18:00-07:00",NA,"00:30:00","2024-07-31T23:18:00-07:00","2024-07-31T23:32:00-07:00","00:00:00","2024-08-01T05:04:00-05:00",NA,"00:01:00","2024-08-01T05:05:00-05:00","2024-08-01T04:56:00-05:00","3","K8",0,list("None"),1719.99
"AS",256,"SAN","ORD","2024-08-01","05:04","US",6976,"00:30:00","2024-07-31T23:18:00-07:00",NA,"00:30:00","2024-07-31T23:18:00-07:00","2024-07-31T23:32:00-07:00","00:00:00","2024-08-01T05:04:00-05:00",NA,"00:01:00","2024-08-01T05:05:00-05:00","2024-08-01T04:56:00-05:00","3","K8",0,list("None"),1719.99
"AA",256,"SAN","ORD","2024-08-01","05:04","US",2065,"00:30:00","2024-07-31T23:18:00-07:00",NA,"00:30:00","2024-07-31T23:18:00-07:00","2024-07-31T23:32:00-07:00","00:00:00","2024-08-01T05:04:00-05:00",NA,"00:01:00","2024-08-01T05:05:00-05:00","2024-08-01T04:56:00-05:00","3","K8",0,list("None"),1719.99
"BA",248,"SEA","ORD","2024-08-01","05:00","US",5591,"00:05:00","2024-07-31T22:57:00-07:00",NA,"00:26:00","2024-07-31T23:18:00-07:00","2024-07-31T23:34:00-07:00","00:12:00","2024-08-01T05:12:00-05:00",NA,"00:03:00","2024-08-01T05:03:00-05:00","2024-08-01T04:54:00-05:00","T3","K4",0,list("None"),1716.1
"MH",248,"SEA","ORD","2024-08-01","05:00","US",9431,"00:05:00","2024-07-31T22:57:00-07:00",NA,"00:26:00","2024-07-31T23:18:00-07:00","2024-07-31T23:34:00-07:00","00:12:00","2024-08-01T05:12:00-05:00",NA,"00:03:00","2024-08-01T05:03:00-05:00","2024-08-01T04:54:00-05:00","T3","K4",0,list("None"),1716.1
"EI",248,"SEA","ORD","2024-08-01","05:00","US",7157,"00:05:00","2024-07-31T22:57:00-07:00",NA,"00:26:00","2024-07-31T23:18:00-07:00","2024-07-31T23:34:00-07:00","00:12:00","2024-08-01T05:12:00-05:00",NA,"00:03:00","2024-08-01T05:03:00-05:00","2024-08-01T04:54:00-05:00","T3","K4",0,list("None"),1716.1
"AA",248,"SEA","ORD","2024-08-01","05:00","US",2368,"00:05:00","2024-07-31T22:57:00-07:00",NA,"00:26:00","2024-07-31T23:18:00-07:00","2024-07-31T23:34:00-07:00","00:12:00","2024-08-01T05:12:00-05:00",NA,"00:03:00","2024-08-01T05:03:00-05:00","2024-08-01T04:54:00-05:00","T3","K4",0,list("None"),1716.1
"F9",182,"MCO","ORD","2024-08-01","00:59","US",3043,"01:50:00","2024-08-01T00:47:00-04:00",NA,NA,NA,NA,"01:50:00","2024-08-01T02:49:00-05:00",NA,NA,NA,NA,"5","M39",0,list("None"),1006.67
"CZ",249,"LAX","ORD","2024-08-01","05:08","US",1702,"00:00:00","2024-07-31T22:59:00-07:00",NA,"00:01:00","2024-07-31T23:00:00-07:00","2024-07-31T23:20:00-07:00","-00:11:00","2024-08-01T04:57:00-05:00",NA,"-00:07:00","2024-08-01T05:01:00-05:00","2024-08-01T04:47:00-05:00","3","H15",0,list("None"),1741.16
"TN",249,"LAX","ORD","2024-08-01","05:08","US",1142,"00:00:00","2024-07-31T22:59:00-07:00",NA,"00:01:00","2024-07-31T23:00:00-07:00","2024-07-31T23:20:00-07:00","-00:11:00","2024-08-01T04:57:00-05:00",NA,"-00:07:00","2024-08-01T05:01:00-05:00","2024-08-01T04:47:00-05:00","3","H15",0,list("None"),1741.16
"AY",249,"LAX","ORD","2024-08-01","05:08","US",4275,"00:00:00","2024-07-31T22:59:00-07:00",NA,"00:01:00","2024-07-31T23:00:00-07:00","2024-07-31T23:20:00-07:00","-00:11:00","2024-08-01T04:57:00-05:00",NA,"-00:07:00","2024-08-01T05:01:00-05:00","2024-08-01T04:47:00-05:00","3","H15",0,list("None"),1741.16
"MH",249,"LAX","ORD","2024-08-01","05:08","US",9454,"00:00:00","2024-07-31T22:59:00-07:00",NA,"00:01:00","2024-07-31T23:00:00-07:00","2024-07-31T23:20:00-07:00","-00:11:00","2024-08-01T04:57:00-05:00",NA,"-00:07:00","2024-08-01T05:01:00-05:00","2024-08-01T04:47:00-05:00","3","H15",0,list("None"),1741.16
"EI",249,"LAX","ORD","2024-08-01","05:08","US",7145,"00:00:00","2024-07-31T22:59:00-07:00",NA,"00:01:00","2024-07-31T23:00:00-07:00","2024-07-31T23:20:00-07:00","-00:11:00","2024-08-01T04:57:00-05:00",NA,"-00:07:00","2024-08-01T05:01:00-05:00","2024-08-01T04:47:00-05:00","3","H15",0,list("None"),1741.16
"AA",249,"LAX","ORD","2024-08-01","05:08","US",609,"00:00:00","2024-07-31T22:59:00-07:00",NA,"00:01:00","2024-07-31T23:00:00-07:00","2024-07-31T23:20:00-07:00","-00:11:00","2024-08-01T04:57:00-05:00",NA,"-00:07:00","2024-08-01T05:01:00-05:00","2024-08-01T04:47:00-05:00","3","H15",0,list("None"),1741.16
"QR",244,"PDX","ORD","2024-08-01","05:15","US",8860,"00:20:00","2024-07-31T23:31:00-07:00",NA,"00:18:00","2024-07-31T23:29:00-07:00","2024-07-31T23:47:00-07:00","00:23:00","2024-08-01T05:38:00-05:00",NA,"00:12:00","2024-08-01T05:27:00-05:00","2024-08-01T05:17:00-05:00","2","E17",0,list("None"),1734.63
"AS",244,"PDX","ORD","2024-08-01","05:15","US",340,"00:20:00","2024-07-31T23:31:00-07:00",NA,"00:18:00","2024-07-31T23:29:00-07:00","2024-07-31T23:47:00-07:00","00:23:00","2024-08-01T05:38:00-05:00",NA,"00:12:00","2024-08-01T05:27:00-05:00","2024-08-01T05:17:00-05:00","2","E17",0,list("None"),1734.63
"NZ",247,"LAX","ORD","2024-08-01","05:22","US",9666,"00:00:00","2024-07-31T23:15:00-07:00","2024-07-31T23:30:00-07:00","-00:03:00","2024-07-31T23:12:00-07:00","2024-07-31T23:29:00-07:00","-00:16:00","2024-08-01T05:06:00-05:00","2024-08-01T05:04:00-05:00","-00:15:00","2024-08-01T05:07:00-05:00","2024-08-01T05:00:00-05:00","1","C15",0,list("None"),1741.16
"VA",247,"LAX","ORD","2024-08-01","05:22","US",8044,"00:00:00","2024-07-31T23:15:00-07:00","2024-07-31T23:30:00-07:00","-00:03:00","2024-07-31T23:12:00-07:00","2024-07-31T23:29:00-07:00","-00:16:00","2024-08-01T05:06:00-05:00","2024-08-01T05:04:00-05:00","-00:15:00","2024-08-01T05:07:00-05:00","2024-08-01T05:00:00-05:00","1","C15",0,list("None"),1741.16
"AC",247,"LAX","ORD","2024-08-01","05:22","US",5116,"00:00:00","2024-07-31T23:15:00-07:00","2024-07-31T23:30:00-07:00","-00:03:00","2024-07-31T23:12:00-07:00","2024-07-31T23:29:00-07:00","-00:16:00","2024-08-01T05:06:00-05:00","2024-08-01T05:04:00-05:00","-00:15:00","2024-08-01T05:07:00-05:00","2024-08-01T05:00:00-05:00","1","C15",0,list("None"),1741.16
"NH",247,"LAX","ORD","2024-08-01","05:22","US",7240,"00:00:00","2024-07-31T23:15:00-07:00","2024-07-31T23:30:00-07:00","-00:03:00","2024-07-31T23:12:00-07:00","2024-07-31T23:29:00-07:00","-00:16:00","2024-08-01T05:06:00-05:00","2024-08-01T05:04:00-05:00","-00:15:00","2024-08-01T05:07:00-05:00","2024-08-01T05:00:00-05:00","1","C15",0,list("None"),1741.16
